,Unnamed: 0,Title,Rating,Author,Total profile reviews,Review text,Date of visit,Date of review,Response 1,Source Zip,Source File,YearMonth,Extracted Names,Sentiment,Tour Package,Mentions Employee,Review Length,Sentiment Category,Flag for Response
0,5,I do not recommend this,2,Lisa N,1.0,"Wij hadden de rondvaart met luxe salonboot geboekt tijdens het Amsterdam Light Festval. We hebben niks kunnen zien omdat de hele weg de ramen zo beslagen waren dat je echt niks kon zien. In het voorste deel van de boot kon je wel naar buiten kijken want dit was glas, maar het achterste deel waar wij zaten hadden ze afgesloten met plastic waardoor je echt niks meekreeg van buiten. Ze hadden ons trekkers gegeven om de condens zelf de hele tijd weg te werken maar het was bijna tegelijkertijd weer terug. Daarnaast zit je er niet echt op te wachten om de hele rit de ramen te lappen. 

Ook zouden we uitleg krijgen over de kunstwerken die we onderweg zouden zien. Echter hebben we bij misschien vier van de tientallen werken een uitleg gekregen. Bij de rest van de kunstwerken werd niks gezegd of werd je niet eens geattendeerd dat we er langsgingen. 

Tenslotte stond er op internet dat het 75 min zou duren. We waren zeker binnen één uur al weer terug, omdat we ook nog eens later waren vertrokken. Dat is niet erg, maar vermeld dan niet dat het 75 min duurt.

Al met al viel het dus ontzettend tegen... Niet aan te raden. Je kunt de route beter zelf lopen, zo zie je alles veel beter.",2023-12-31 00:00:00+00:00,2023-12-02 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-12,[],1.0,Evening Cruise - Anne Frank,False,1188,Negative,Need to Respond
1,38,Total Waste of an Hour and Money,1,Jennifer B,1.0,"Total waste of money.  Cruise started 15 minutes late, and was crammed full of people so we sat shoulder to shoulder with strangers.  Got a small plastic glass of very cheap wine and gouda cheese cubes - AND had to balance all of it on my lap.  Tour guides gave NO info - just jokes. We couldn't even enjoy the view since the windows were covered in plastic rather than glass.   Glad I had gone on a ""real"" canal cruise earlier in the week that was informative.  We were so disappointed.  Expected a variety of cheeses since the Netherlands are known for them and wanted to sit around a table with my family for a relaxed evening tour.  $150 down the drain (and they requested a tip on top of that!!)

Would love to have that money back.   Took the tour on November 24th, 2023.",2023-11-30 00:00:00+00:00,2023-11-27 00:00:00+00:00,"Customer s: Hi there, 

Thank you for taking the time to share your experience, and we sincerely apologize for the disappointment you faced during your recent cruise. We understand your concerns and want to assure you that your feedback is being taken seriously as we continuously strive to improve our services. 

We regret the delay in the start time, the crowded conditions, and the inconvenience caused by the limited seating space. Your comments about the quality of the wine, cheese offering, and the absence of informative content are duly noted, and we will be reviewing and refining these aspects of our tour. 

We also understand the importance of clear communication about the type of experience we offer, and we apologize for any misunderstanding regarding the cruise format. Your feedback regarding the desire for a more relaxed and informative tour with a variety of cheeses is invaluable, and we will certainly take this into account for future improvements. 

Please accept our sincerest apologies for the disappointment and frustration you experienced, and we would appreciate the opportunity to discuss this matter further. If you could contact our customer service team at customersupport@flagshipamsterdam, we would like to address your concerns and explore a resolution. 

Thank you for bringing these issues to our attention, and we hope to have the chance to make amends and provide you with a more enjoyable experience in the future. 

Warm regards,  

Jessie – Front Office Manager – Flagship Amsterdam  

 ",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],0.0,Evening Cruise - Central Station,False,777,Negative,Response Provided
2,70,Excellent,5,paularotheram1,2.0,Excellent! Knowledgable and fun. We have had a great experience. Very professional and the onboard staff were amazing. Highly recommend,,2023-11-26 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],5.0,Amsterdam Luxury Boat Canal Cruise - Anne Frank House,False,135,Positive,Response Not Needed
3,278,Canal and wine ,5,Niamh C,6.0,Good value for money. Hosts were energetic and enthusiastic about the historical aspects. Isabelle and Jiska were fantastic! Not shy on wine thank you!!,2023-11-30 00:00:00+00:00,2023-11-17 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,"['Isabelle', 'Jiska']",4.5,Evening Cruise - Anne Frank,True,152,Positive,Response Not Needed
4,594,A good time and educational,5,Alissa H,1.0,"Laura and Tumelo were great, so many fun stories about the architecture! Also the boat was heated so we were able to get out of the cold. ",2023-11-30 00:00:00+00:00,2023-11-04 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,"['Laura', 'Tumelo']",4.5,Luxury Canal Cruise Boat with Drinks and Cheese - Central Station,True,138,Positive,Response Not Needed
5,659,Best boat trip,5,Harry N,1.0,Katie & yainnick we’re the best host - love our experience! Kudos. I recommend anyone who wants to learn about Amsterdam to visit this trip.,2023-11-30 00:00:00+00:00,2023-11-03 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,"['Katie', 'yainnick']",5.0,Amsterdam Luxury Boat Canal Cruise - Rijkmuseum,True,140,Positive,Response Not Needed
6,723,LOVE LOVE LOVE,5,Bethany C,1.0,"Incredible!! 5/5, Diek, Jenna and Isabelle were awesome! We would definitely recommend to anybody visiting Amsterdam. Unlimited drinks, always making sure we were topped up, DELICIOUS cheese. The tour was informative and very detailed which we found super helpful, they really made our experience special.",,2023-11-01 00:00:00+00:00,No Response,Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,"['Diek', 'Jenna', 'Isabelle']",5.0,Amsterdam Luxury Boat Canal Cruise - Central Station,True,305,Positive,Response Not Needed
7,155,Waste of time,2,Vivian B,1.0,"We did not enjoy this experience at all!   First, because of our schedule,  we had to go on a night cruise.  Most of the tour boats we had seen on the canals had glass windows and glass roofs,  these boats do not.  Therefor the visibility was very poor.  We had expected a glass roof like the others that would have allowed us to see.  Second,  the boat was late.  A man came to the meeting point and said they decided to leave from a different canal so the group had to walk to the new meeting place without much explanation.  Once at the new meeting place,  in spite of the fact it was past our scheduled departure time,  they kept the passengers waiting out in the cold, watching while a crew member slowly finished her dinner in the boat.  Third, we finally left about 15 minutes or so late.  A few guests were loud and obnoxious and made it difficult for us to hear anything the crew was saying about the city or anything else for that matter.  Overall was a complete waste of our evening.  Perhaps under different circumstances it would have been better but I do not recommend this tour to anyone. ",2023-11-30 00:00:00+00:00,2023-11-21 00:00:00+00:00,"Customer s: 
Dear Customer,

I hope this message finds you well, and I appreciate you taking the time to share your thoughts with us. First and foremost, I want to extend our sincerest apologies for the less-than-ideal experience you had during your night cruise.

I'm truly sorry to hear that the absence of glass windows and roofs affected the visibility, and I completely understand how this could be disappointing. Your feedback on this aspect is crucial for us to consider as we aim to enhance our offerings.

I also want to apologize for the confusion caused by the change in the departure location and the delay in boarding. It's clear that we fell short in providing a smooth and enjoyable experience, and I appreciate your patience in light of these challenges.

I'm genuinely sorry to hear that the behavior of some guests had a negative impact on your evening. Creating a comfortable and enjoyable atmosphere for everyone is a priority for us, and we'll certainly take steps to manage such situations more effectively in the future.

Your comments are invaluable to us, and we are committed to learning from this experience to make necessary improvements. If there are specific details you'd like us to delve into or if you have additional insights to share, please feel free to reach out directly at customersupport@flagshipamsterda.com.

Once again, I apologize for any inconvenience caused and truly appreciate your candid feedback. We value your business and the opportunity to make things right.

Warm regards
Jessie - Front Office Manager - Flagship Amsterdam
",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],0.5,Luxury Canal Cruise Boat with Drinks and Cheese - Anne Frank,False,1104,Negative,Response Provided
8,36,"Bossy guide, couldn’t see, boring commentary and the boat crashed!!",2,Nashes_5,169.0,"Very average. The commentary was banal, immature, and focused on how much the houses cost and how much she wanted a sugar daddy (which some punters found funny) and included very little of interest. No real history of Amsterdam or its canals. I’m sure tourists can be annoying but I got told off in no uncertain terms for opening the plastic windows at the back of the boat because I couldn’t see properly. She insisted the is would make it too cold. Ok so then we were sat at the back and couldn’t see!! So an hour of no views, in the dark listening to irritating commentary. Not my idea of fun though things did hot up when the driver smashed in to a bridge, and our boat was called “Titanic”!!",2023-11-30 00:00:00+00:00,2023-11-27 00:00:00+00:00,"Customer s: Hi there,  

Thank you for sharing your experience with us, and we sincerely apologize for the disappointment you faced during your recent canal tour. Your feedback is valuable, and we take it seriously as we strive to provide an enjoyable and informative experience for all our guests. 

We apologize for the immature and banal nature of the commentary during your tour. This falls short of the standards we aim to uphold, and we will address this issue with our team to ensure a more engaging and informative narrative in the future. 

We also regret any inconvenience caused by the restriction on opening the plastic windows. Your concerns about visibility are important, and we will review our policies to find a solution that allows guests to have an unobstructed view while maintaining a comfortable environment. 

The incident involving the boat's collision with a bridge is a serious matter, and we want to assure you that we take safety very seriously. However, the Amsterdam canals are very tight, and these bumps can sometimes happen!  

Your feedback is instrumental in helping us identify areas for improvement, and we appreciate your candor. Please reach out to us at customersupport@flagshipamsterdam.com for any further concerns.  

Thank you for bringing these issues to our attention, and we extend our sincerest apologies for the shortcomings you experienced. 

Warm regards, 

Jessie – Front Office Manager – Flagship Amsterdam  

 ",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Amsterdam Luxury Boat Canal Cruise - Rijkmuseum,False,696,Negative,Response Provided
9,206,The boat was over sold!! Too many people ,1,El W,1.0,"They had oversold, we couldn’t get on our boat, the staff weren’t helpful, they just said sorry! There are queues of people and on the boat itself it was packed, shoulder to shoulder. We were really disappointed. We also couldn’t get a refund through the company, it has been a long process, I don’t even think we’ve got our money back yet!
I’m sure it would have been fun if we’d got on and it hadn’t been so packed. A real shame!",2023-11-30 00:00:00+00:00,2023-11-20 00:00:00+00:00,"Customer s: Hi there, 

Thank you for taking the time to share your experience, and we sincerely apologize for the disappointment and inconvenience you faced during your attempt to board our boat. We deeply regret that the situation led to a  less-than-ideal experience for you. 

We understand the frustration you must have felt, and we genuinely apologize for any inconvenience caused by our staff's response. We appreciate your feedback as it highlights areas where we need to improve, both in terms of managing capacity and ensuring our staff provides more helpful assistance in such situations. 

Please know that we take your concerns seriously, and we are actively working to address the issues you've raised. We would like to investigate your specific case further to ensure that similar situations are avoided in the future. Please get in contact with us via customersupport@ flagshipamsterdam.com to help you further with the refund.  

Your feedback is invaluable to us, and we genuinely regret that your experience did not meet your expectations. We hope to have the opportunity to make amends and provide you with a more positive experience in the future. 

Thank you for bringing this to our attention, and we appreciate your understanding. 

Best Regards, 

Jessie – Front Office Manager – Flagship Amsterdam",Dec 2023-20240113T072004Z-001.zip,04 Dec 2023.xlsx,2023-11,[],1.0,Luxury Canal Cruise Boat with Drinks and Cheese - Central Station,False,431,Negative,Response Provided
